128 0 0 0.0 0.0 82.22 0.0501606 0.0207529  {'frags': 0, 'damage': 0} 
24448 85 85 1.515776821836454 1.515776821836454 85.03 0.0054507 0.0266683  {'frags': 0, 'damage': 1} 
24576 85 85 1.515776821836454 1.515776821836454 84.5 0.005298 0.0239413  {'frags': 0, 'damage': 1} 
24704 86 86 1.6761491418094723 1.6761491418094723 84.73 0.001132 0.0251147  {'frags': 0, 'damage': 1} 
24832 86 86 1.6761491418094723 1.6761491418094723 86.64 0.0052688 0.0270454  {'frags': 0, 'damage': 2} 
24960 87 87 1.8653342178582994 1.8653342178582994 84.66 0.0013885 0.023814  {'frags': 0, 'damage': 1} 
25088 87 87 1.8653342178582994 1.8653342178582994 84.64 0.0073326 0.0265102  {'frags': 0, 'damage': 1} 
25216 88 88 2.043300785678444 2.043300785678444 84.61 0.0002262 0.0260417  {'frags': 0, 'damage': 1} 
25344 88 88 2.043300785678444 2.043300785678444 84.95 0.0075906 0.0340544  {'frags': 0, 'damage': 1} 
25472 88 88 2.043300785678444 2.043300785678444 82.49 -0.0032458 0.0257936  {'frags': 0, 'damage': 1} 
25600 88 88 2.043300785678444 2.043300785678444 84.33 -0.0067967 0.0312214  {'frags': 1.0, 'damage': 3} 
25728 89 89 2.5280707029607195 2.5280707029607195 84.44 0.0039091 0.0259053  {'frags': 0, 'damage': 1} 
25856 89 89 2.5280707029607195 2.5280707029607195 85.02 0.0099461 0.0363528  {'frags': 0, 'damage': 1} 
25984 89 89 2.5280707029607195 2.5280707029607195 84.02 0.0051785 0.0288911  {'frags': 0, 'damage': 1} 
26112 90 90 2.8086636397109412 2.8086636397109412 83.14 0.0056501 0.0319462  {'frags': 0, 'damage': 1} 
26240 90 90 2.8086636397109412 2.8086636397109412 84.87 -0.0009101 0.031387  {'frags': 0, 'damage': 1} 
26368 90 90 2.8086636397109412 2.8086636397109412 85.56 0.0088916 0.0342365  {'frags': 1.0, 'damage': 4} 
26496 91 91 3.250397265299814 3.250397265299814 85.01 0.0102902 0.0358887  {'frags': 0, 'damage': 1} 
26624 92 92 3.557957510294738 3.557957510294738 82.97 0.0114733 0.0360497  {'frags': 0, 'damage': 1} 
26752 92 92 3.557957510294738 3.557957510294738 84.87 0.0115732 0.0295761  {'frags': 0, 'damage': 2} 
26880 93 93 3.8418117641927987 3.8418117641927987 82.63 0.0048973 0.0295469  {'frags': 0, 'damage': 1} 
27008 93 93 3.8418117641927987 3.8418117641927987 82.91 0.0086827 0.0344638  {'frags': 0, 'damage': 1} 
27136 93 93 3.8418117641927987 3.8418117641927987 84.8 -0.0073429 0.0271944  {'frags': 0, 'damage': 1} 
27264 94 94 4.127180552689014 4.127180552689014 85.82 0.0142097 0.0328971  {'frags': 0, 'damage': 1} 
27392 94 94 4.127180552689014 4.127180552689014 84.04 -1.09e-05 0.0315009  {'frags': 0, 'damage': 1} 
27520 95 95 4.376112466011631 4.376112466011631 85.16 0.002654 0.0327618  {'frags': 0, 'damage': 1} 
27648 95 95 4.376112466011631 4.376112466011631 84.21 -0.0008564 0.0301882  {'frags': 0, 'damage': 1} 
27776 95 95 4.376112466011631 4.376112466011631 86.01 -0.0205429 0.0351247  {'frags': 0, 'damage': 2} 
27904 96 96 4.613601225678362 4.613601225678362 85.24 -0.0157663 0.0393906  {'frags': 0, 'damage': 1} 
28032 97 97 4.8155910746466075 4.8155910746466075 84.62 -0.0147727 0.0336356  {'frags': 0, 'damage': 1} 
28160 97 97 4.8155910746466075 4.8155910746466075 85.15 -0.0100507 0.0389058  {'frags': 0, 'damage': 2} 
28288 98 98 5.027481934268727 5.027481934268727 83.05 -0.0250688 0.0468171  {'frags': 0, 'damage': 1} 
28416 98 98 5.027481934268727 5.027481934268727 83.28 -0.0060788 0.0405199  {'frags': 0, 'damage': 4} 
28544 98 98 5.027481934268727 5.027481934268727 84.57 -0.0192677 0.0398572  {'frags': 0, 'damage': 5} 
28672 98 98 5.027481934268727 5.027481934268727 82.45 -0.0182211 0.0408952  {'frags': 1.0, 'damage': 7} 
28800 99 99 5.787433784181137 5.787433784181137 82.84 -0.0268442 0.0436648  {'frags': 0, 'damage': 1} 
28928 99 99 5.787433784181137 5.787433784181137 84.48 -0.0233331 0.0415676  {'frags': 0, 'damage': 1} 
29056 100 100 6.0265403826118344 6.0265403826118344 85.02 -0.0211679 0.0450673  {'frags': 0, 'damage': 1} 
29184 100 100 6.0265403826118344 6.0265403826118344 84.74 -0.0253365 0.0417234  {'frags': 1.0, 'damage': 3} 
29312 100 100 6.0265403826118344 6.0265403826118344 84.38 -0.0242581 0.0557446  {'frags': 1.0, 'damage': 4} 
