0 0.0 0.0 0.0 0.39 0.0153794 0.0 7.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
9088 13.10156 0.0 0.0 10.85 0.0019253 0.0014712 0.0001379 0.000117 -0.0036389 0.0001853 1.3202558 1.3334021 12.5900574 0.0034482 0.8900944 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00382} 
9216 13.11719 0.0 0.0 7.86 0.0019135 0.0014362 0.0001393 0.000113 -0.0053966 0.0001631 1.3009496 1.3329109 12.7404119 0.0034186 0.8805914 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00381} 
9344 13.14844 0.0 0.0 10.22 0.0021345 0.0016883 0.0001412 0.0001112 -0.0060804 0.000202 1.2989398 1.3363763 13.7442615 0.0037694 0.8635532 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00379} 
9472 13.21875 0.0 0.0 13.73 0.0026262 0.0025089 0.0001477 0.0001057 -0.00557 0.0002914 1.2974891 1.3352691 13.90035 0.0044837 0.8553204 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00381} 
9600 13.30469 0.0 0.0 9.62 0.0030088 0.0021825 0.0001471 0.0001073 -0.0055306 0.0003765 1.282499 1.3331899 13.1045757 0.0053463 0.8708936 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.0038} 
9728 13.44531 0.0 0.0 12.51 0.0033552 0.0044014 0.0001554 0.0001157 -0.0041097 0.0009387 1.2747615 1.3305452 11.8749627 0.0057547 0.8932346 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00383} 
9856 13.61719 0.0 0.0 9.48 0.0034555 0.0042125 0.0001592 0.0001191 -0.0031988 0.0009446 1.2710116 1.3455041 10.2690853 0.0058911 0.9194279 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.0039} 
9984 13.67188 0.0 0.0 10.6 0.0034784 0.0038162 0.0001507 0.0001139 -0.0038709 0.0005726 1.2746881 1.3470917 9.2379502 0.0057673 0.9276773 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00394} 
10112 13.71875 0.0 0.0 10.59 0.0036792 0.0039651 0.0001498 0.0001105 -0.0038036 0.0007225 1.2779057 1.3518942 9.2361944 0.0059889 0.9155704 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00397} 
10240 13.75 0.0 0.0 10.72 0.0045574 0.0067344 0.0001504 0.0001028 -0.0047824 0.0012665 1.2858312 1.356934 9.6982734 0.0068311 0.9169778 {} {'explored_rooms_count': 23, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00396} 
10368 13.75781 0.0 0.0 10.43 0.0048968 0.0088592 0.0001449 9.8e-05 -0.0049549 0.0014647 1.2861574 1.3585459 11.0148303 0.0072825 0.8879956 {} {'explored_rooms_count': 24, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00397} 
10496 13.82812 0.0 0.0 9.87 0.0038038 0.0042406 0.0001411 9.26e-05 -0.0059264 0.0009781 1.2859467 1.3628 12.9075731 0.0065335 0.8660231 {} {'explored_rooms_count': 24, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.0039} 
10624 13.90625 0.0 0.0 10.17 0.0033814 0.0027872 0.0001394 9.5e-05 -0.0033699 0.001191 1.2791231 1.3550354 14.1640416 0.0059784 0.845146 {} {'explored_rooms_count': 24, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00403} 
10752 14.07031 0.0 0.0 10.44 0.0030587 0.0027596 0.0001537 0.0001134 -0.0041607 0.0011046 1.2693806 1.3454979 14.1077978 0.0054753 0.8505972 {} {'explored_rooms_count': 25, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00406} 
10880 14.21094 0.0 0.0 11.24 0.0032665 0.0039969 0.0001584 0.0001128 -0.0053599 0.0010881 1.2646782 1.344222 13.226027 0.0057961 0.8576888 {} {'explored_rooms_count': 25, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00403} 
11008 14.42969 0.0 0.0 10.72 0.0034118 0.0040792 0.000175 0.0001188 -0.0048061 0.001119 1.2548889 1.3472651 11.048854 0.0059629 0.8856737 {} {'explored_rooms_count': 25, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.004} 
11136 14.70312 0.0 0.0 10.75 0.0034392 0.0037697 0.0001946 0.000117 -0.0032439 0.0010933 1.2506144 1.320132 8.4049251 0.0061303 0.9181817 {} {'explored_rooms_count': 26, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00385} 
11264 14.94531 0.0 0.0 11.15 0.0028653 0.0022747 0.0001939 0.0001157 -0.0032161 0.0006637 1.2596544 1.30695 7.6154754 0.0054011 0.9076951 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00361} 
11392 15.10156 0.0 0.0 10.23 0.0029496 0.0025369 0.0001829 0.0001046 -0.0048935 0.0004878 1.2634343 1.3041219 8.391987 0.0051934 0.8817889 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00343} 
11520 15.26562 0.0 0.0 11.12 0.0028055 0.0025805 0.0001772 0.0001033 -0.0044122 0.0004526 1.2636791 1.3027645 9.7506547 0.0051911 0.8533383 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00315} 
